"Service","EC2-Instances($)","DynamoDB($)","Tax($)","EC2-Other($)","Elastic Container Service($)","VPC($)","Relational Database Service($)","Elastic MapReduce($)","Lambda($)","Secrets Manager($)","S3($)","CloudWatch($)","EC2 Container Registry (ECR)($)","Textract($)","Glue($)","Elastic Load Balancing($)","SES($)","Athena($)","Step Functions($)","CloudFront($)","CloudShell($)","API Gateway($)","SNS($)","Key Management Service($)","SQS($)","Service Catalog($)","Cognito($)","DataZone($)","Rekognition($)","CloudWatch Events($)","AppSync($)","Amplify($)","Total costs($)"
"Service total","286.9520065839","214.5855818807","211.71","199.9194894798","109.0398759971","105.6552226246","97.5213918476","66.825809096","9.7474427505","7.3874824122","7.3795493509","4.1752584759","4.1667161623","0.648","0.32469404","0.0053403479","0.0051201248","0.00193","0.0001423983","0.0000049334","0.0000029555","0","0","0","0","0","0","0","0","0","0","0","1326.0510614614"
"2023-10-01","0","0.1484123056","23.94","1.0800939134","0.595104","0","0","","0","","0","0","0","","","0.0001782735","","","","0","","0","0","","","","","","","","","","25.7637884925"
"2023-10-02","0","0.7899247994","","1.0804436855","0.593479103","0","0","","0","","0.0176578","0","0","","","0.0002215058","","","","0","","0","","","","","","","","","","","2.4817268937"
"2023-10-03","0","0.0685932745","","1.0808853795","0.5949862148","0","0","","0","","0.0024998","0","0","","","0.0002786481","","","","0","","0","","","","","","","","","","","1.7472433169"
"2023-10-04","0","9.4277535605","","1.0805938254","0.5959046273","0","0","","0","","0.030364","0","0.0028690016","0","","0.000100525","","","","0","","0","","","","","","","","","","","11.1375855398"
"2023-10-05","0","0.013606983","","1.0802581412","0.595104","0","0","","0","","0.0004512","0","0.0135807168","","","0.0006232032","","","","0","","0","","","","","","","","","","","1.7036242442"
"2023-10-06","0","0.0073669291","","1.0801138239","0.5949966613","0","0","","0","","0.000238","0","0.0135807168","","","0.0003949413","","","","0","","0","","","","","","","","","","","1.6966910724"
"2023-10-07","0","0.0025391505","","1.0800001127","0.595104","0","0","","0","","0.000008","0","0.0135807168","","","0.0000017893","","","","0","","0","","","","","","","","","","","1.6912337693"
"2023-10-08","0","0.0101964581","","1.0800044796","0.595104","0","0","","0","","0.0000064","0","0.0135807168","","","0.0000248591","","","","0","","0","","","","","","","","","","","1.6989169136"
"2023-10-09","0","0.0546536847","","1.0808229401","0.5961342045","0","0","","0","","0.0014564","0","0.0136813757","0","","0.0000672044","","","","0","","0","","0","","","","","","","","","1.7468158094"
"2023-10-10","0","0.0299747709","","1.0801299737","0.5948688134","0","0","","0","","0.0003832","0","0.0143219904","0","","0.0000957485","","","","0","","0","","0","","","","","","","","","1.7197744969"
"2023-10-11","0","15.3175552603","","1.0818924744","0.5952602081","0","0","","0","","0.0177168","0","0.0143953723","0","","0.0000722433","","","","0","","0","","","","","","","","","","","17.0268923584"
"2023-10-12","0","0.0081850312","","1.0838360469","0.595104","0","0","","0","","0.0009166","0","0.0145073112","","","0.0000046839","","","","0","","0","0","","0","","","","","","","","1.7025536732"
"2023-10-13","0.8422358","0.0457815992","","1.0844355051","0.5949789294","0","0","0.097731744","0.0000004831","","0.0154142","0","0.0145073112","","","0.0000925888","0","","","0","0","0","0","","0","","","","","","","","2.6951781608"
"2023-10-14","0","0.0024449835","","1.0839538542","0.595104","0","0","","0","","0","0","0.0145073112","","","0.0000075176","","","","","","","","","0","","","","","","","","1.6960176665"
"2023-10-15","0","0.002416871","","1.0836679476","0.5934593927","0","0","","0","","0.0000012","0","0.0145073112","","","0.0000019039","","","","0","","","","","0","","","","","","","","1.6940546264"
"2023-10-16","0","0.0052290829","","1.0838616086","0.595104","0","0","","0","","0.0000076","0","0.0145073112","","","0.0000046016","","","","0","","0","","","0","","","","","","","","1.6987142043"
"2023-10-17","0.6812358","0.2508483012","","1.0841399325","0.5948888155","0","0","0.095650104","0.0000023574","","0.0100104","0.0082101879","0.0145073112","","","0.000003208","","","","0","","0","0","","0","","","","","","","","2.7394964177"
"2023-10-18","0.9352777","0.6459027889","","1.0844197778","0.5949267343","0","0","0.090873552","0.0000169002","","0.0138242","0.077419356","0.0145073112","0","","0.000007383","","","","0","","0","","","0","","","","","","","","3.4571757034"
"2023-10-19","0","0.06446814","","1.0844572851","0.5960756685","0","0","","0","","0.0007352","0.0771505388","0.0145073112","","","0.0000082732","","","","0","","0","0","","0","","","","","","","","1.8374024168"
"2023-10-20","0","0.0372688008","","1.085644141","0.5960352297","0","0","","0","","0.001733","0.077419356","0.0145663229","","","0.0000020426","","","","0","","0","","","0","","","","","","","","1.812668893"
"2023-10-21","0","0.0168846877","","1.0840326995","0.5957685671","0","0","","0","","0.0003772","0.077419356","0.0147377525","","","0.0000142784","","","","0","","0","","","0","","","","","","","","1.7892345412"
"2023-10-22","2.62325","1.5705196587","","1.0984545719","0.5956833398","0","0","0.300664232","0.0000001376","","0.0342546","0.077419356","0.0149909843","","","0.0000221751","","","","0","","0","","","0","","","","","","","","6.3152590554"
"2023-10-23","0","10.866363981","","1.0867193008","0.5964228417","0","0","","0","0","0.017089","0.0774305567","0.0152747302","","","0.0001631509","","","0.0000470734","0","","0","","0","0","","","","","","","","12.6595106347"
"2023-10-24","0.65109695","0.6928792656","","1.0856994291","0.5960757423","0","0","0.045660648","0.000000001","0","0.0284024","0.0773857538","0.0155012686","","","0.0000296436","","","0.0000286146","0","","0","","","0","","","","","","","","3.1927597166"
"2023-10-25","1.1335135","0.0229759184","","1.0860170861","0.5965705916","0","0","0.17442964","0","0","0.003255","0.077419356","0.0156858236","","","0.0000376915","","","","0","","0","","","0","0","","","","","","","3.1099046072"
"2023-10-26","0.509979324","0.031926738","","1.0863535689","0.5961926158","0","0","0.077329864","0","0","0.001871","0.077419356","0.0160724188","","","0.0000111249","","","","0","","0","","0","0","","","","","","","","2.3971560104"
"2023-10-27","3.65808345","0.0300740901","","1.0850818412","0.5951287526","0","0","0.885464976","0.0002466918","0","0.054104","0.077419356","0.0163716888","","","0.0000140761","","","0.0000628568","0","","0","","","0","","","","","","","","6.4020517794"
"2023-10-28","6.4731527","1.1042339487","","1.1148132843","0.595104","0","0","1.326859776","0","0","0.0440128","0.077419356","0.0163716888","","","0.0000177568","","","","0","","","","","0","","","","","","","","10.7519853106"
"2023-10-29","3.5905135","0.0843003828","","1.088121031","0.595104","0","0","1.135332968","0","0","0.0083366","0.0776881732","0.0163716888","","","0.0000174941","","","","0","","","","","0","","","","","","","","6.5957858379"
"2023-10-30","0.4717223","0.0224044743","","1.0866841281","0.5957911752","0","0","0.082053488","0","0","0.0055338","0.077419356","0.0163716888","","","0.0000155886","","","0.0000038535","0","","0","","","0","","","","","","","","2.3579998525"
"2023-10-31","4.2496811","0.0554266279","","1.105691184","0.5965972696","0","0","0.53792728","0","0","0.0470792","0.077419356","0.0164191444","","","0.0000047453","","","","0","","0","","","0","","","","","","","","6.6862459072"
"2023-11-01","10.92291725","1.2170678783","75.83","1.2092098533","0.5954149989","0","0","3.067672696","0","0","0.065641","0","0","","","0.0000036503","","","","0","","0","","","0","","","","","","","","92.9079273268"
"2023-11-02","0","0.0264105892","0.05","1.0840983843","0.595104","0","0","","0","0","0.0000732","0","0","","","0.000001609","","","","0","","0","","","0","","","","","","","","1.7556877825"
"2023-11-03","0","0.1152860475","","1.0844950117","0.595104","0","0","","0","0","0.000157","0","0.0013301776","","","0.0000055785","","","","0","","0","","","0","","","","","","","","1.7963778153"
"2023-11-04","0","0.0149915597","","1.0839751841","0.595104","0","0","","0","0","0.0000004","0","0.0171100656","","","0.0000059915","","","","0","","","","","0","","","","","","","","1.7111872009"
"2023-11-05","0","0.0133590703","","1.0838318674","0.595104","0","0","","0","0","0.0000008","0","0.0171100656","","","0.00000383","","","","0","","","","","0","","","","","","","","1.7094096333"
"2023-11-06","0","0.1822995227","","1.0839817379","0.595104","0","0","","0","0","0.010463","0","0.0171100656","","","0.0000049696","","","","0","","","","","0","","","","","","","","1.8889632958"
"2023-11-07","0","2.2129774822","","1.0851150281","0.5953583755","0","0","","0","0","0.0334808","0","0.0171390035","","","0.0000190565","","","","0","","0","","","0","","","","","","","","3.9440897458"
"2023-11-08","0","0.2337347698","","1.0846293458","0.5953563252","0","0","","0","0","0.0113344","0","0.0173027616","","","0.0000017983","","","","0","","0","","","0","","","","","","","","1.9423594007"
"2023-11-09","0","1.8511597128","","1.0850925917","0.5953661204","0","0.0229414349","","0","0","0.058783","0","0.0174536689","","0","0.0000202221","","","","0","","0","","0","0","","","","","","","","3.6308167508"
"2023-11-10","0","0.0297251127","","1.0845837042","0.595104","0","0.0530614962","","0","0","0.0014098","0","0.0174954576","0.015","","0.0000233743","","","","0","","0","","0","0","","","","","","","","1.796402945"
"2023-11-11","0","0.0397664351","","1.0844008","0.5960411842","0","0.0024409722","","0","0","0.0000256","0","0.0174954576","","","0.0000280774","","","","0","","0","","","0","","","","","","","","1.7401985265"
"2023-11-12","0","0.0143472938","","1.0848821155","0.5959914671","0","0.0027862956","","0","0","0.0000028","0","0.0174954576","","","0.0000097688","","","","0","","","","","0","","","","","","","","1.7155151984"
"2023-11-13","0","0.0140284173","","1.0852882995","0.5974839282","0","0.0027862956","","0","0","0.0000132","0","0.0174954576","","","0.0000263378","","","","0","","0","","","0","","","","","","","","1.717121936"
"2023-11-14","0","0.0292814798","","1.0855328827","0.5967122666","0","0.0027862956","","0","0","0.0008834","0","0.0174954576","","","0.0000347086","0.0006431313","","","0","","0","","0","0","","","","","","","","1.7333696222"
